,region,abb,fips.numeric,fips.character,D,R,sum,Dem,Rep,Polarity
7,connecticut,CT,9,9,10,1,11,90.90909091,9.090909091,0 - 35
12,hawaii,HI,15,15,7,2,9,77.77777778,22.22222222,0 - 35
22,maine,ME,23,23,6,2,8,75,25,0 - 35
21,maryland,MD,24,24,22,9,31,70.96774194,29.03225806,0 - 35
20,massachusetts,MA,25,25,32,14,46,69.56521739,30.43478261,0 - 35
49,wisconsin,WI,55,55,16,7,23,69.56521739,30.43478261,0 - 35
35,new york,NY,36,36,185,87,272,68.01470588,31.98529412,0 - 35
5,california,CA,6,6,171,83,254,67.32283465,32.67716535,0 - 35
24,minnesota,MN,27,27,20,10,30,66.66666667,33.33333333,0 - 35
33,new mexico,NM,35,35,8,4,12,66.66666667,33.33333333,0 - 35
40,rhode island,RI,44,44,6,3,9,66.66666667,33.33333333,0 - 35
50,west virginia,WV,54,54,6,3,9,66.66666667,33.33333333,0 - 35
41,south carolina,SC,45,45,13,7,20,65,35,35 - 40
32,new jersey,NJ,34,34,24,13,37,64.86486486,35.13513514,35 - 40
38,oregon,OR,41,41,16,9,25,64,36,35 - 40
48,washington,WA,53,53,50,31,81,61.72839506,38.27160494,35 - 40
19,louisiana,LA,22,22,14,9,23,60.86956522,39.13043478,35 - 40
25,missouri,MO,29,29,21,14,35,60,40,40 - 45
8,district of columbia,DC,11,11,498,333,831,59.92779783,40.07220217,40 - 45
34,nevada,NV,32,32,19,13,32,59.375,40.625,40 - 45
6,colorado,CO,8,8,23,17,40,57.5,42.5,40 - 45
39,pennsylvania,PA,42,42,43,32,75,57.33333333,42.66666667,40 - 45
17,kansas,KS,20,20,8,6,14,57.14285714,42.85714286,40 - 45
36,ohio,OH,39,39,25,19,44,56.81818182,43.18181818,40 - 45
16,indiana,IN,18,18,18,14,32,56.25,43.75,40 - 45
9,delaware,DE,10,10,5,4,9,55.55555556,44.44444444,40 - 45
23,michigan,MI,26,26,22,18,40,55,45,45 - 50
31,new hampshire,NH,33,33,6,5,11,54.54545455,45.45454545,45 - 50
10,florida,FL,12,12,63,54,117,53.84615385,46.15384615,45 - 50
15,illinois,IL,17,17,31,27,58,53.44827586,46.55172414,45 - 50
2,alabama,AL,1,1,16,15,31,51.61290323,48.38709677,45 - 50
28,north carolina,NC,37,37,21,20,41,51.2195122,48.7804878,45 - 50
4,arizona,AZ,4,4,25,25,50,50,50,50 - 55
29,north dakota,ND,38,38,5,5,10,50,50,50 - 55
11,georgia,GA,13,13,27,30,57,47.36842105,52.63157895,50 - 55
44,texas,TX,48,48,75,86,161,46.58385093,53.41614907,50 - 55
13,iowa,IA,19,19,10,12,22,45.45454545,54.54545455,50 - 55
45,utah,UT,49,49,8,10,18,44.44444444,55.55555556,55 - 60
18,kentucky,KY,21,21,10,13,23,43.47826087,56.52173913,55 - 60
37,oklahoma,OK,40,40,8,11,19,42.10526316,57.89473684,55 - 60
46,virginia,VA,51,51,29,41,70,41.42857143,58.57142857,55 - 60
27,montana,MT,30,30,2,3,5,40,60,60 - 65
42,south dakota,SD,46,46,2,3,5,40,60,60 - 65
43,tennessee,TN,47,47,16,26,42,38.0952381,61.9047619,60 - 65
26,mississippi,MS,28,28,4,8,12,33.33333333,66.66666667,65 - 100
47,vermont,VT,50,50,1,2,3,33.33333333,66.66666667,65 - 100
14,idaho,ID,16,16,3,8,11,27.27272727,72.72727273,65 - 100
30,nebraska,NE,31,31,3,9,12,25,75,65 - 100
3,arkansas,AR,5,5,3,11,14,21.42857143,78.57142857,65 - 100
1,alaska,AK,2,2,1,4,5,20,80,65 - 100
51,wyoming,WY,56,56,0,3,3,0,100,65 - 100
